0,Australia,Broadacre crops - Cereal crops - Wheat for grain - Area (ha),10919179.85,18963.52
0,Australia,Broadacre crops - Cereal crops - Wheat for grain - Production (t),20941133.54,18963.52
0,Australia,Broadacre crops - Cereal crops - Wheat for grain - Yield (t/ha),1.92,..
0,Australia,Broadacre crops - Cereal crops - Oats for grain - Area (ha),874136.03,8124.12
0,Australia,Broadacre crops - Cereal crops - Oats for grain - Production (t),1227387.41,8124.12
0,Australia,Broadacre crops - Cereal crops - Oats for grain - Yield (t/ha),1.4,..
0,Australia,Broadacre crops - Cereal crops - Barley for grain - Area (ha),4124157.77,13489.44
0,Australia,Broadacre crops - Cereal crops - Barley for grain - Production (t),9253852.04,13489.44
0,Australia,Broadacre crops - Cereal crops - Barley for grain - Yield (t/ha),2.24,..
0,Australia,Broadacre crops - Cereal crops - Triticale for grain - Area (ha),55481.97,587.03
0,Australia,Broadacre crops - Cereal crops - Triticale for grain - Production (t),86957.49,587.03
0,Australia,Broadacre crops - Cereal crops - Triticale for grain - Yield (t/ha),1.57,..
0,Australia,Broadacre crops - Cereal crops - Sorghum for grain - Area (ha),462191.35,1963.89
0,Australia,Broadacre crops - Cereal crops - Sorghum for grain - Production (t),1257218.96,1963.89
0,Australia,Broadacre crops - Cereal crops - Sorghum for grain - Yield (t/ha),2.72,..
0,Australia,Broadacre crops - Cereal crops - Rice for grain - Area (ha),61151,570.76
0,Australia,Broadacre crops - Cereal crops - Rice for grain - Production (t),635113,570.76
0,Australia,Broadacre crops - Cereal crops - Rice for grain - Yield (t/ha),10.39,..
0,Australia,Broadacre crops - Cereal crops - Maize for grain - Area (ha),52783.42,561.27
0,Australia,Broadacre crops - Cereal crops - Maize for grain - Production (t),387240.16,561.27
0,Australia,Broadacre crops - Cereal crops - Maize for grain - Yield (t/ha),7.34,..
0,Australia,Broadacre crops - Cereal crops - All other cereals for grain or seed - Area (ha),44144.28,313.47
0,Australia,Broadacre crops - Cereal crops - All other cereals for grain or seed - Production (t),24568.32,313.47
0,Australia,Broadacre crops - Cereal crops - All other cereals for grain or seed - Yield (t/ha),0.56,..
0,Australia,Fruit and nuts - Citrus fruit - Mandarins - Total trees (no.),2632848,496.02
0,Australia,Fruit and nuts - Citrus fruit - Mandarins - Trees not yet of bearing age (no.),386058.44,133.27
0,Australia,Fruit and nuts - Citrus fruit - Mandarins - Trees of bearing age (no.),2246789.56,450.32
0,Australia,Fruit and nuts - Citrus fruit - Mandarins - Production (t),138007.31369,450.32
0,Australia,Fruit and nuts - Citrus fruit - Mandarins - Yield (t/tree),0.06142,..
0,Australia,Fruit and nuts - Citrus fruit - Oranges - Total trees (no.),6603429.25,910.32
0,Australia,Fruit and nuts - Citrus fruit - Oranges - Trees not yet of bearing age (no.),390606.93,184.71
0,Australia,Fruit and nuts - Citrus fruit - Oranges - Trees of bearing age (no.),6212822.32,898.49
0,Australia,Fruit and nuts - Citrus fruit - Oranges - Production (t),378233.04053,898.49
0,Australia,Fruit and nuts - Citrus fruit - Oranges - Yield (t/tree),0.06088,..
0,Australia,Fruit and nuts - Citrus fruit - Other citrus fruit n.e.c. - Total trees (no.),1354530.65,706.44
0,Australia,Fruit and nuts - Citrus fruit - Other citrus fruit n.e.c. - Trees not yet of bearing age (no.),222888.08,205.81
0,Australia,Fruit and nuts - Citrus fruit - Other citrus fruit n.e.c. - Trees of bearing age (no.),1131642.57,632.34
1,New South Wales,Broadacre crops - Cereal crops - Wheat for grain - Area (ha),2793455.67,6094.34
1,New South Wales,Broadacre crops - Cereal crops - Wheat for grain - Production (t),4702842.44,6094.34
1,New South Wales,Broadacre crops - Cereal crops - Wheat for grain - Yield (t/ha),1.68,..
1,New South Wales,Broadacre crops - Cereal crops - Oats for grain - Area (ha),365955.29,3426.77
1,New South Wales,Broadacre crops - Cereal crops - Oats for grain - Production (t),229353.29,3426.77
1,New South Wales,Broadacre crops - Cereal crops - Oats for grain - Yield (t/ha),0.63,..
1,New South Wales,Broadacre crops - Cereal crops - Barley for grain - Area (ha),763470.37,3135.09
1,New South Wales,Broadacre crops - Cereal crops - Barley for grain - Production (t),1304643.32,3135.09
